,epoch,time,train_auc,test_auc
0,0,0.1844618320465088,0.48463068989697755,0.7718890283556659
1,100,9.399919986724854,0.8476298656675205,0.8456536234911399
2,200,18.60450792312622,0.8650444524652385,0.8636918110419631
3,300,29.363841772079468,0.8723601054163471,0.8715115689468753
4,400,41.331437826156616,0.8765671890432376,0.8760824200559498
5,500,49.208757162094116,0.8795121480979781,0.8792513373232959
6,600,58.34222197532654,0.881767302524404,0.8816810597635003
7,700,72.5419270992279,0.8836085210343605,0.8836368669865412
8,800,90.01438593864441,0.8851485289753593,0.885262250859958
9,900,98.23195195198059,0.8864759764147381,0.8866554340500923
10,1000,105.01786303520203,0.887625391116895,0.8878484395507705
11,1100,112.09354090690613,0.8886400920767898,0.8889077493135914
12,1200,119.09269094467163,0.8895445337738029,0.8898484077682367
13,1300,127.71425700187683,0.890352945206695,0.8906793746619184
14,1400,137.6173059940338,0.8910774220562483,0.8914179317474267
15,1500,149.54193902015686,0.8917276119757196,0.892069034590897
16,1600,161.73083305358887,0.8923144524115831,0.8926741886724122
17,1700,173.20563793182373,0.8928448308596131,0.8932073720423687
18,1800,186.45304989814758,0.8933170809069744,0.893694240733039
19,1900,197.02135300636292,0.8937524764029752,0.8941302991886464
20,2000,205.29648399353027,0.894148633809752,0.8945224893836928
21,2100,213.3203489780426,0.894507838640884,0.8948854480114066
22,2200,220.63171482086182,0.8948323170794623,0.8952086575622253
23,2300,228.20426201820374,0.895126941964258,0.8955029805534802
24,2400,236.48436212539673,0.8953999834493735,0.8957784326652519
25,2500,245.1443338394165,0.8956450751154932,0.8960281032873805
26,2600,254.7502942085266,0.8958765310877311,0.8962660750097072
27,2700,265.1775598526001,0.8960917382450311,0.8964766342965741
28,2800,274.22541904449463,0.8962916226589221,0.8966689918099338
29,2900,282.5986399650574,0.8964741387173636,0.8968434402836508
30,3000,291.1676208972931,0.8966420182023873,0.8970115845244988
31,3100,303.9740891456604,0.8968027419146474,0.8971628129298874
32,3200,317.5383770465851,0.8969518884429988,0.8973039942908534
33,3300,326.74543595314026,0.8970903709610384,0.89743469996138
34,3400,334.09667897224426,0.8972211714706821,0.8975634714974445
