date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-18,3.75,3.82,3.79,3.73,26891.0,0.04,1.07,3.85,3.899,3.943,20575.47,25996.64,28501.42
2018-09-17,3.83,3.88,3.75,3.74,24681.0,-0.13,-3.35,3.88,3.917,3.955,20229.27,25906.56,30058.13
2018-09-14,3.95,3.96,3.88,3.88,13311.0,-0.05,-1.27,3.926,3.932,3.964,20390.79,25562.21,31473.13
2018-09-13,3.94,3.96,3.93,3.87,15120.35,0.03,0.77,3.95,3.934,3.969,27086.19,29194.42,32900.33
2018-09-12,3.94,3.96,3.9,3.85,22874.0,-0.04,-1.01,3.948,3.943,3.975,31177.64,30852.27,35012.52
2018-09-11,3.98,4.01,3.94,3.89,25160.0,-0.04,-1.0,3.948,3.954,3.989,31417.81,31072.85,36569.54
2018-09-10,4.0,4.05,3.98,3.94,25488.61,-0.02,-0.5,3.954,3.966,4.007,31583.84,30991.85,38631.17
2018-09-07,3.93,4.09,4.0,3.93,46788.0,0.08,2.04,3.938,3.974,4.02,30733.62,33472.81,40317.82
2018-09-06,3.89,4.0,3.92,3.83,35577.58,0.02,0.51,3.918,3.97,4.035,31302.64,31371.24,43384.1
2018-09-05,3.98,3.99,3.9,3.88,24074.87,-0.07,-1.76,3.938,3.978,4.058,30526.9,29818.78,50177.58
2018-09-04,3.94,4.03,3.97,3.86,25990.16,0.07,1.79,3.96,3.987,4.076,30727.89,31006.2,52943.19
2018-09-03,3.86,3.92,3.9,3.84,21237.51,0.0,0.0,3.978,3.992,4.092,30399.86,34209.71,56901.11
2018-08-31,4.02,4.02,3.9,3.72,49633.07,-0.12,-2.98,4.01,3.995,4.112,36212.0,37384.06,60373.54
2018-08-30,4.01,4.13,4.02,4.0,31698.89,0.01,0.25,4.022,4.003,4.139,31439.84,36606.25,64048.04
2018-08-29,4.06,4.08,4.01,4.0,25079.83,-0.05,-1.23,4.018,4.007,4.171,29110.66,39172.77,67540.07
2018-08-28,4.06,4.1,4.06,4.02,24350.0,0.0,0.0,4.014,4.024,4.207,31284.52,42066.23,71146.24
2018-08-27,3.94,4.1,4.06,3.9,50298.23,0.1,2.52,4.006,4.047,4.244,38019.56,46270.49,78277.47
2018-08-24,3.99,4.0,3.96,3.91,25772.23,-0.04,-1.0,3.98,4.066,4.274,38556.12,47162.83,85245.09
2018-08-23,3.98,4.04,4.0,3.95,20052.99,0.01,0.25,3.984,4.1,4.328,41772.67,55396.95,87870.59
2018-08-22,4.03,4.07,3.99,3.95,35949.13,-0.03,-0.75,3.996,4.138,4.381,49234.89,70536.39,91596.77
2018-08-21,3.96,4.12,4.02,3.91,58025.23,0.09,2.29,4.034,4.164,4.436,52847.94,74880.17,100049.96
2018-08-20,3.98,4.0,3.93,3.8,52981.0,-0.06,-1.5,4.088,4.192,4.481,54521.42,79592.51,106089.85
2018-08-17,4.08,4.12,3.98,3.96,41855.0,-0.07,-1.73,4.152,4.228,4.537,55769.55,83363.01,114870.82
2018-08-16,4.13,4.16,4.06,4.02,57364.07,-0.11,-2.64,4.216,4.274,4.574,69021.24,91489.83,121955.18
2018-08-15,4.34,4.34,4.18,4.14,54014.42,-0.1,-2.34,4.28,4.334,4.6,91837.89,95907.37,125224.25
2018-08-14,4.22,4.37,4.29,4.22,66392.61,0.03,0.7,4.294,4.389,4.619,96912.4,100226.24,128482.84
2018-08-13,4.22,4.26,4.25,4.15,59221.63,-0.05,-1.16,4.296,4.441,4.642,104663.6,110284.44,135092.99
2018-08-10,4.22,4.31,4.3,4.19,108113.45,-0.07,-1.6,4.304,4.482,4.66,110956.48,123327.34,140666.12
2018-08-09,4.38,4.47,4.38,4.34,171447.33,0.13,3.06,4.332,4.555,4.668,113958.42,120344.22,148876.48
2018-08-08,4.31,4.33,4.25,4.13,79387.0,-0.05,-1.16,4.388,4.623,4.678,99976.85,112657.15,153848.82
2018-08-07,4.27,4.32,4.3,4.16,105148.61,0.02,0.47,4.484,4.708,4.673,103540.08,125219.75,162190.04
2018-08-06,4.43,4.43,4.29,4.15,90686.01,-0.14,-3.16,4.586,4.77,4.656,115905.28,132587.19,162472.89
