date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-18,3.18,3.22,3.21,3.14,72246.0,0.03,0.94,3.176,3.142,3.126,68447.0,63289.31,52313.45
2018-09-17,3.17,3.23,3.18,3.16,77490.35,0.0,0.0,3.164,3.134,3.122,69025.69,62250.74,50660.16
2018-09-14,3.17,3.21,3.18,3.15,85190.22,0.01,0.32,3.148,3.128,3.118,71089.02,61563.66,49522.7
2018-09-13,3.14,3.17,3.17,3.13,64366.64,0.03,0.95,3.132,3.118,3.113,62990.31,55948.39,49859.11
2018-09-12,3.13,3.16,3.14,3.12,42941.77,-0.01,-0.32,3.114,3.109,3.111,58386.79,53069.73,50711.12
2018-09-11,3.12,3.15,3.15,3.1,75139.45,0.05,1.61,3.108,3.106,3.111,58131.63,52566.3,51222.58
2018-09-10,3.1,3.16,3.1,3.07,87807.03,0.0,0.0,3.104,3.105,3.113,55475.79,49863.86,51200.25
2018-09-07,3.08,3.12,3.1,3.07,44696.67,0.02,0.65,3.108,3.109,3.117,52038.3,45345.19,52146.8
2018-09-06,3.1,3.12,3.08,3.07,41349.01,-0.03,-0.96,3.104,3.108,3.123,48906.47,43777.63,52914.27
2018-09-05,3.13,3.15,3.11,3.1,41666.0,-0.02,-0.64,3.104,3.11,3.13,47752.67,42817.93,55276.69
2018-09-04,3.11,3.15,3.13,3.1,61860.24,0.01,0.32,3.104,3.11,3.134,47000.97,41337.59,57308.99
2018-09-03,3.08,3.13,3.12,3.06,70619.59,0.04,1.3,3.106,3.109,3.136,44251.93,39069.58,56988.22
2018-08-31,3.08,3.09,3.08,3.05,29037.52,0.0,0.0,3.11,3.108,3.136,38652.08,37481.74,55947.99
2018-08-30,3.11,3.12,3.08,3.07,35580.02,-0.03,-0.96,3.112,3.108,3.138,38648.78,43769.83,56879.96
2018-08-29,3.15,3.15,3.11,3.09,37907.5,-0.03,-0.95,3.116,3.113,3.14,37883.18,48352.51,60170.27
2018-08-28,3.14,3.16,3.14,3.11,48115.0,0.0,0.0,3.116,3.115,3.144,35674.21,49878.86,62598.72
2018-08-27,3.11,3.14,3.14,3.1,42620.36,0.05,1.62,3.112,3.12,3.149,33887.23,52536.65,64348.75
2018-08-24,3.1,3.11,3.09,3.08,29021.02,-0.01,-0.32,3.106,3.124,3.154,36311.4,58948.41,69921.43
2018-08-23,3.11,3.13,3.1,3.08,31752.0,-0.01,-0.32,3.104,3.138,3.166,48890.88,62050.91,81202.54
2018-08-22,3.12,3.13,3.11,3.1,26862.69,-0.01,-0.32,3.11,3.15,3.179,58821.84,67735.45,93582.24
2018-08-21,3.11,3.14,3.12,3.09,39180.07,0.01,0.32,3.114,3.158,3.186,64083.5,73280.38,101823.09
2018-08-20,3.07,3.11,3.11,3.05,54741.24,0.03,0.97,3.128,3.163,3.193,71186.07,74906.87,108465.49
2018-08-17,3.14,3.16,3.08,3.07,91918.38,-0.06,-1.91,3.142,3.163,3.198,81585.42,74414.25,109107.66
2018-08-16,3.11,3.2,3.13,3.06,81406.83,0.01,0.32,3.172,3.168,3.202,75210.95,69990.08,108387.09
2018-08-15,3.19,3.19,3.13,3.12,53171.0,-0.07,-2.19,3.19,3.167,3.203,76649.05,71988.03,108003.26
2018-08-14,3.16,3.22,3.19,3.16,74692.92,0.02,0.63,3.202,3.172,3.206,82477.25,75318.57,109957.2
2018-08-13,3.18,3.19,3.18,3.1,106737.98,-0.04,-1.24,3.198,3.178,3.207,78627.67,76160.85,111609.67
2018-08-10,3.2,3.23,3.23,3.2,60046.01,0.01,0.31,3.184,3.184,3.21,67243.07,80894.45,111477.27
2018-08-09,3.19,3.24,3.22,3.15,88597.34,0.03,0.94,3.164,3.193,3.211,64769.22,100354.16,113331.23
2018-08-08,3.18,3.24,3.19,3.15,82312.01,0.01,0.31,3.144,3.207,3.209,67327.01,119429.03,112629.56
2018-08-07,3.11,3.19,3.17,3.1,55445.0,0.07,2.26,3.142,3.214,3.205,68159.89,130365.8,112035.0
2018-08-06,3.13,3.15,3.11,3.09,49815.0,-0.02,-0.64,3.158,3.223,3.207,73694.03,142024.11,111486.01
2018-08-03,3.12,3.16,3.13,3.11,47676.73,0.0,0.0,3.184,3.233,3.211,94545.82,143801.08,111974.29
2018-08-02,3.17,3.19,3.12,3.08,101386.29,-0.07,-2.19,3.222,3.236,3.212,135939.1,146784.1,113007.69
2018-08-01,3.25,3.28,3.18,3.18,86476.43,-0.07,-2.15,3.27,3.239,3.212,171531.05,144018.5,111024.63
2018-07-31,3.23,3.26,3.25,3.21,83115.69,0.02,0.62,3.286,3.24,3.209,192571.71,144595.82,109526.71
2018-07-30,3.3,3.3,3.24,3.2,154073.98,-0.08,-2.41,3.288,3.235,3.205,210354.18,147058.49,109278.06
2018-07-27,3.33,3.43,3.32,3.29,254643.11,-0.03,-0.9,3.282,3.236,3.199,193056.33,142060.09,109656.62
2018-07-26,3.25,3.37,3.36,3.22,279346.06,0.1,3.07,3.25,3.229,3.196,157629.11,126308.3,104866.55
2018-07-25,3.25,3.29,3.26,3.19,191679.7,0.0,0.0,3.208,3.21,3.188,116505.94,105830.08,94173.11
2018-07-24,3.19,3.27,3.26,3.18,172028.06,0.06,1.88,3.194,3.196,3.185,96619.93,93704.2,87109.98
2018-07-23,3.17,3.22,3.21,3.14,67584.71,0.04,1.26,3.182,3.19,3.183,83762.79,80947.92,81757.07
2018-07-20,3.13,3.19,3.16,3.12,77507.0,0.01,0.32,3.19,3.189,3.184,91063.86,80147.5,80876.18
2018-07-19,3.18,3.19,3.15,3.12,73730.21,-0.04,-1.25,3.208,3.188,3.189,94987.49,79231.28,79350.94
2018-07-18,3.19,3.23,3.19,3.18,92249.69,0.0,0.0,3.212,3.184,3.191,95154.23,78030.76,79815.9
2018-07-17,3.23,3.24,3.2,3.15,107742.36,-0.05,-1.54,3.198,3.177,3.196,90788.46,74457.59,78818.07
2018-07-16,3.29,3.33,3.25,3.22,104090.02,0.01,0.31,3.198,3.174,3.197,78133.05,71497.64,80757.12
2018-07-13,3.18,3.28,3.25,3.16,97125.18,0.08,2.52,3.188,3.161,3.212,69231.14,77253.14,82159.88
2018-07-12,3.11,3.19,3.17,3.09,74563.89,0.06,1.93,3.168,3.162,3.228,63475.08,83424.8,81686.91
2018-07-11,3.17,3.17,3.12,3.08,70420.84,-0.08,-2.5,3.156,3.166,3.251,60907.3,82516.15,85118.08
2018-07-10,3.18,3.21,3.2,3.16,44465.34,0.0,0.0,3.156,3.173,3.283,58126.73,80515.76,86560.45
2018-07-09,3.14,3.2,3.2,3.13,59580.43,0.05,1.59,3.15,3.176,3.309,64862.22,82566.21,88152.51
2018-07-06,3.1,3.16,3.15,3.09,68344.88,0.04,1.29,3.134,3.178,3.334,85275.15,81604.87,91625.7
