date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-18,8.94,9.35,9.13,8.73,30652.13,0.26,2.93,8.942,8.903,8.836,17268.98,18994.16,14198.22
2018-09-17,9.1,9.1,8.87,8.86,14859.21,-0.08,-0.89,8.902,8.872,8.82,13641.32,17253.5,13046.97
2018-09-14,8.98,9.09,8.95,8.84,17085.01,0.0,0.0,8.86,8.849,8.811,13478.08,16649.26,12753.23
2018-09-13,8.87,8.95,8.95,8.8,9501.3,0.14,1.59,8.87,8.823,8.794,14546.56,15932.37,12659.73
2018-09-12,8.9,8.97,8.81,8.75,14247.24,-0.12,-1.34,8.868,8.79,8.791,19103.94,15937.13,12864.1
2018-09-11,8.64,8.93,8.93,8.62,12513.84,0.27,3.12,8.864,8.796,8.796,20719.34,15216.4,12785.62
2018-09-10,9.0,9.09,8.66,8.5,14043.0,-0.34,-3.78,8.842,8.796,8.81,20865.69,14611.4,12840.01
2018-09-07,8.93,9.15,9.0,8.85,22427.4,0.06,0.67,8.838,8.82,8.834,19820.45,14322.44,12733.35
2018-09-06,8.71,9.03,8.94,8.66,32288.24,0.15,1.71,8.776,8.797,8.838,17318.19,12923.38,12172.37
2018-09-05,8.8,8.96,8.79,8.73,22324.23,-0.03,-0.34,8.712,8.788,8.84,12770.31,10839.33,11396.59
2018-09-04,8.62,8.95,8.82,8.58,13245.56,0.18,2.08,8.728,8.769,8.839,9713.47,9402.28,11138.43
2018-09-03,8.65,8.68,8.64,8.42,8816.8,-0.05,-0.57,8.75,8.767,8.849,8357.12,8840.44,11473.76
2018-08-31,8.62,8.84,8.69,8.56,9916.1,0.07,0.81,8.802,8.773,8.857,8824.43,8857.2,11992.14
2018-08-30,8.9,8.92,8.62,8.54,9548.87,-0.25,-2.82,8.818,8.765,8.877,8528.57,9387.09,12315.28
2018-08-29,8.96,8.96,8.87,8.85,7040.0,-0.06,-0.67,8.864,8.792,8.906,8908.35,9791.06,13615.03
2018-08-28,8.87,8.98,8.93,8.85,6463.81,0.03,0.34,8.81,8.796,8.958,9091.09,10354.84,15286.06
2018-08-27,8.8,8.99,8.9,8.72,11153.35,0.13,1.48,8.784,8.823,9.005,9323.76,11068.61,16012.74
2018-08-24,8.8,8.9,8.77,8.73,8436.8,-0.08,-0.9,8.744,8.847,9.045,8889.97,11144.26,16511.76
2018-08-23,8.6,8.87,8.85,8.56,11447.8,0.25,2.91,8.712,8.879,9.105,10245.61,11421.36,17309.38
2018-08-22,8.8,8.8,8.6,8.6,7953.71,-0.2,-2.27,8.72,8.892,9.165,10673.77,11953.84,17937.6
2018-08-21,8.76,8.86,8.8,8.65,7627.15,0.1,1.15,8.782,8.908,9.237,11618.59,12874.59,18768.0
2018-08-20,8.53,8.75,8.7,8.48,8984.4,0.07,0.81,8.862,8.93,9.299,12813.46,14107.07,19807.56
2018-08-17,8.93,9.01,8.61,8.01,15215.0,-0.29,-3.26,8.95,8.94,9.356,13398.55,15127.07,20620.49
2018-08-16,8.91,9.07,8.89,8.73,13588.6,-0.02,-0.22,9.046,8.988,9.417,12597.11,15243.48,21180.88
2018-08-15,9.22,9.28,8.91,8.87,12677.8,-0.29,-3.15,9.064,9.019,9.456,13233.92,17439.0,21719.04
2018-08-14,9.11,9.28,9.2,9.07,13601.52,0.06,0.66,9.034,9.12,9.496,14130.59,20217.27,22472.13
2018-08-13,8.94,9.16,9.14,8.83,11909.85,0.08,0.88,8.998,9.187,9.522,15400.68,20956.87,22742.66
2018-08-10,8.95,9.14,9.09,8.94,11207.8,0.1,1.11,8.93,9.243,9.551,16855.59,21879.27,22926.37
2018-08-09,8.71,9.03,8.98,8.68,16772.61,0.23,2.63,8.93,9.33,9.583,17889.84,23197.41,23468.05
2018-08-08,9.0,9.01,8.76,8.71,17161.16,-0.25,-2.77,8.974,9.437,9.619,21644.08,23921.36,23796.35
2018-08-07,8.79,9.02,9.02,8.79,19951.99,0.23,2.62,9.206,9.566,9.65,26303.95,24661.41,23904.3
2018-08-06,9.1,9.18,8.8,8.7,19184.38,-0.32,-3.51,9.376,9.668,9.687,26513.06,25508.05,23908.43
2018-08-03,9.2,9.37,9.09,9.09,16379.06,-0.1,-1.09,9.556,9.772,9.73,26902.94,26113.9,24176.49
2018-08-02,9.8,9.85,9.2,9.03,35543.79,-0.73,-7.35,9.73,9.846,9.754,28504.97,27118.28,24631.59
2018-08-01,9.91,10.16,9.92,9.81,40460.53,0.05,0.51,9.9,9.893,9.766,26198.65,25999.09,23928.13
2018-07-31,9.79,9.97,9.87,9.65,20997.53,0.15,1.54,9.926,9.871,9.762,23018.86,24726.99,22933.25
2018-07-30,9.96,10.0,9.7,9.66,21133.8,-0.26,-2.61,9.96,9.856,9.769,24503.05,24528.46,23375.46
2018-07-27,10.02,10.04,9.96,9.88,24389.2,-0.09,-0.9,9.988,9.858,9.771,25324.86,23973.48,23601.2
2018-07-26,10.01,10.15,10.05,9.93,24012.2,0.01,0.1,9.962,9.835,9.766,25731.58,23738.7,23521.61
2018-07-25,10.08,10.09,10.05,9.96,24561.59,0.02,0.2,9.886,9.801,9.743,25799.52,23671.34,23277.1
2018-07-24,9.88,10.08,10.04,9.81,28418.46,0.19,1.93,9.816,9.734,9.726,26435.12,23147.2,23237.46
2018-07-23,9.95,9.95,9.84,9.71,25242.86,0.03,0.31,9.752,9.705,9.71,24553.87,22308.81,23104.48
2018-07-20,9.67,9.86,9.83,9.62,26422.8,0.17,1.76,9.728,9.687,9.692,22622.09,22239.09,23032.58
2018-07-19,9.74,9.8,9.67,9.61,24351.88,-0.03,-0.31,9.708,9.661,9.674,21745.81,22144.91,22947.75
2018-07-18,9.79,9.96,9.7,9.66,27739.6,-0.01,-0.1,9.716,9.638,9.651,21543.16,21857.17,23120.92
2018-07-17,9.8,9.82,9.72,9.65,19012.2,0.0,0.0,9.652,9.652,9.653,19859.28,21139.52,23291.89
2018-07-16,9.7,9.77,9.72,9.61,15583.99,0.0,0.0,9.658,9.682,9.639,20063.76,22222.47,24388.92
2018-07-13,9.85,9.89,9.73,9.67,22041.4,0.01,0.1,9.646,9.683,9.677,21856.08,23228.92,25728.68
2018-07-12,9.39,9.76,9.71,9.39,23338.6,0.33,3.52,9.614,9.697,9.757,22544.0,23304.52,25758.05
2018-07-11,9.75,9.75,9.38,9.27,19320.2,-0.37,-3.79,9.56,9.684,9.865,22171.18,22882.86,25808.05
2018-07-10,9.64,9.78,9.75,9.58,20034.6,0.11,1.14,9.652,9.717,10.011,22419.75,23327.73,26197.05
2018-07-09,9.5,9.77,9.66,9.43,24545.6,0.12,1.26,9.706,9.714,10.144,24381.17,23900.15,26550.77
2018-07-06,9.49,9.64,9.57,9.15,25481.0,0.13,1.38,9.72,9.696,10.276,24601.76,23826.08,27597.68
2018-07-05,9.73,9.95,9.44,9.34,21474.52,-0.4,-4.07,9.78,9.687,10.437,24065.04,23750.6,28049.48
2018-07-04,10.03,10.13,9.84,9.73,20563.04,-0.18,-1.8,9.808,9.664,10.626,23594.53,24384.67,28487.45
2018-07-03,9.76,10.12,10.02,9.74,29841.71,0.28,2.88,9.782,9.653,10.795,24235.7,25444.26,29247.65
2018-07-02,9.87,10.0,9.73,9.65,25648.52,-0.14,-1.42,9.722,9.596,10.939,23419.13,26555.37,29565.22
2018-06-29,9.69,9.93,9.87,9.55,22797.4,0.25,2.6,9.672,9.671,11.106,23050.4,28228.44,31316.25
2018-06-28,9.68,9.79,9.58,9.58,19121.98,-0.12,-1.24,9.594,9.816,11.267,23436.15,28211.57,33159.31
2018-06-27,9.77,9.93,9.71,9.6,23768.89,0.0,0.0,9.52,10.045,11.415,25174.8,28733.24,35321.54
2018-06-26,9.29,9.8,9.72,9.28,25758.86,0.23,2.42,9.524,10.304,11.611,26652.81,29066.37,36468.19
2018-06-25,9.61,9.75,9.48,9.48,23804.87,0.0,0.0,9.47,10.573,11.812,29691.62,29201.39,38384.75
2018-06-22,9.2,9.6,9.48,8.9,24726.16,0.28,3.04,9.67,10.856,12.054,33406.47,31369.27,40912.81
2018-06-21,9.75,9.85,9.21,9.18,27815.24,-0.53,-5.44,10.038,11.187,12.295,32986.99,32348.36,43268.32
2018-06-20,9.3,9.95,9.73,9.2,31158.94,0.28,2.96,10.57,11.587,12.561,32291.67,32590.23,48540.07
2018-06-19,10.43,10.48,9.45,9.45,40952.88,-1.05,-10.0,11.084,11.937,12.85,31479.92,33051.05,56428.44
2018-06-15,11.58,11.58,10.48,10.3,42379.13,-0.91,-7.99,11.676,12.282,13.19,28711.17,32575.07,68542.57
2018-06-14,11.69,12.03,11.32,10.69,22628.78,-0.56,-4.71,12.042,12.541,13.446,29332.08,34404.06,78291.84
2018-06-13,12.31,12.35,11.87,11.84,24338.6,-0.43,-3.5,12.336,12.717,13.59,31709.72,38107.06,81950.14
