date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-18,4.08,4.13,4.12,4.02,32360.45,0.04,0.98,4.158,4.163,4.187,35469.01,38655.81,50482.93
2018-09-17,4.2,4.21,4.08,4.0,40901.0,-0.11,-2.62,4.166,4.186,4.188,34484.52,41867.11,50497.8
2018-09-14,4.22,4.24,4.19,4.17,35757.14,-0.04,-0.95,4.174,4.211,4.188,32936.22,45275.11,50444.27
2018-09-13,4.2,4.23,4.23,4.13,39241.46,0.06,1.44,4.176,4.237,4.184,33620.89,54858.41,51419.22
2018-09-12,4.16,4.18,4.17,4.12,29085.0,0.01,0.24,4.156,4.242,4.184,37438.2,64073.12,55264.68
2018-09-11,4.1,4.17,4.16,4.1,27438.0,0.04,0.97,4.168,4.239,4.195,41842.6,65181.09,63239.49
2018-09-10,4.18,4.2,4.12,4.11,33159.5,-0.08,-1.91,4.206,4.244,4.198,49249.7,70131.74,63790.01
2018-09-07,4.14,4.22,4.2,4.14,39180.5,0.07,1.7,4.248,4.245,4.202,57614.0,70623.14,65162.52
2018-09-06,4.17,4.27,4.13,4.13,58328.0,-0.1,-2.36,4.298,4.233,4.205,76095.93,68738.55,65020.38
2018-09-05,4.35,4.37,4.23,4.23,51107.0,-0.12,-2.76,4.328,4.227,4.213,90708.04,65229.75,64980.59
2018-09-04,4.33,4.35,4.35,4.23,64473.5,0.02,0.46,4.31,4.21,4.214,88519.57,62310.05,64500.2
2018-09-03,4.38,4.38,4.33,4.22,74981.01,-0.12,-2.7,4.282,4.189,4.21,91013.77,59128.48,64424.47
2018-08-31,4.32,4.48,4.45,4.28,131590.12,0.17,3.97,4.242,4.164,4.202,83632.27,55613.44,63548.53
2018-08-30,4.16,4.51,4.28,4.16,131388.59,0.14,3.38,4.168,4.13,4.194,61381.17,47980.03,60966.3
2018-08-29,4.12,4.19,4.14,4.12,40164.65,-0.07,-1.66,4.126,4.125,4.194,39751.46,46456.24,58646.05
2018-08-28,4.13,4.38,4.21,4.12,76944.5,0.08,1.94,4.11,4.151,4.209,36100.53,61297.9,63509.96
2018-08-27,4.08,4.16,4.13,4.05,38073.51,0.05,1.23,4.096,4.152,4.221,27243.19,57448.29,67760.5
2018-08-24,4.08,4.1,4.08,4.03,20334.62,0.01,0.25,4.086,4.158,4.245,27594.6,59701.9,81332.42
2018-08-23,4.05,4.1,4.07,4.02,23240.03,0.01,0.25,4.092,4.176,4.279,34578.88,61302.21,85540.47
2018-08-22,4.14,4.14,4.06,4.06,21910.0,-0.08,-1.93,4.124,4.198,4.292,53161.02,64731.44,88367.25
2018-08-21,4.07,4.14,4.14,4.05,32657.81,0.06,1.47,4.192,4.217,4.3,86495.27,66690.34,89674.27
2018-08-20,4.09,4.15,4.08,3.99,39830.54,-0.03,-0.73,4.208,4.231,4.302,87653.38,69720.46,90756.12
2018-08-17,4.23,4.28,4.11,4.1,55256.02,-0.13,-3.07,4.23,4.24,4.303,91809.19,71483.62,90880.34
2018-08-16,4.25,4.35,4.23,4.15,116150.74,-0.16,-3.65,4.26,4.258,4.303,88025.54,73952.57,90120.05
