date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-09-18,2.65,2.69,2.69,2.64,197610.5,0.04,1.51,2.67,2.673,2.706,183034.98,224960.89,272297.95
2018-09-17,2.66,2.67,2.65,2.64,139162.0,-0.03,-1.12,2.664,2.679,2.708,186258.29,227770.22,276897.29
2018-09-14,2.68,2.7,2.68,2.66,237336.95,0.0,0.0,2.662,2.687,2.711,206486.33,247281.1,284005.32
2018-09-13,2.65,2.68,2.68,2.65,193108.27,0.03,1.13,2.66,2.69,2.71,223031.55,261217.74,285848.43
2018-09-12,2.66,2.66,2.65,2.62,147957.2,-0.01,-0.38,2.66,2.699,2.709,245153.63,270850.5,289515.86
2018-09-11,2.64,2.66,2.66,2.62,213727.03,0.02,0.76,2.676,2.713,2.71,266886.79,299383.96,297917.39
2018-09-10,2.67,2.68,2.64,2.63,240302.19,-0.03,-1.12,2.694,2.727,2.714,269282.15,337712.39,295561.27
2018-09-07,2.68,2.71,2.67,2.67,320063.06,-0.01,-0.37,2.712,2.738,2.719,288075.86,358334.58,296120.54
2018-09-06,2.71,2.73,2.68,2.67,303718.66,-0.05,-1.83,2.72,2.742,2.725,299403.94,342128.05,295660.47
2018-09-05,2.74,2.75,2.73,2.7,256623.0,-0.02,-0.73,2.738,2.743,2.731,296547.37,327096.76,310485.47
2018-09-04,2.73,2.75,2.75,2.7,225703.84,0.02,0.73,2.75,2.739,2.732,331881.13,319635.02,312939.35
2018-09-03,2.72,2.73,2.73,2.67,334270.75,0.02,0.74,2.76,2.736,2.733,406142.64,326024.35,324543.42
2018-08-31,2.78,2.78,2.71,2.71,376703.44,-0.06,-2.17,2.764,2.734,2.731,428593.29,320729.54,324756.25
2018-08-30,2.8,2.82,2.77,2.76,289435.81,-0.02,-0.72,2.764,2.73,2.733,384852.16,310479.11,321174.37
2018-08-29,2.8,2.82,2.79,2.77,433291.81,-0.01,-0.36,2.748,2.718,2.731,357646.15,308181.23,333754.23
2018-08-28,2.75,2.86,2.8,2.75,597011.38,0.05,1.82,2.728,2.706,2.734,307388.91,296450.81,333011.21
2018-08-27,2.72,2.77,2.75,2.71,446524.0,0.04,1.48,2.712,2.7,2.738,245906.06,253410.14,313791.94
2018-08-24,2.69,2.72,2.71,2.68,157997.8,0.02,0.74,2.704,2.7,2.743,212865.8,233906.51,310434.2
2018-08-23,2.7,2.71,2.69,2.67,153405.77,0.0,0.0,2.696,2.707,2.751,236106.06,249192.89,315035.13
2018-08-22,2.71,2.72,2.69,2.68,182005.62,-0.03,-1.1,2.688,2.719,2.76,258716.3,293874.18,320180.1
2018-08-21,2.7,2.74,2.72,2.69,289597.12,0.01,0.37,2.684,2.725,2.77,285512.71,306243.69,333163.73
2018-08-20,2.67,2.72,2.71,2.63,281322.69,0.04,1.5,2.688,2.73,2.778,260914.22,323062.49,360354.22
2018-08-17,2.67,2.7,2.67,2.65,274199.12,0.02,0.76,2.696,2.728,2.784,254947.22,328782.95,381595.8
2018-08-16,2.63,2.68,2.65,2.63,266456.97,-0.02,-0.75,2.718,2.736,2.785,262279.72,331869.63,383027.36
2018-08-15,2.74,2.74,2.67,2.66,315987.66,-0.07,-2.56,2.75,2.744,2.786,329032.06,359327.24,381875.51
2018-08-14,2.75,2.75,2.74,2.72,166604.67,-0.02,-0.72,2.766,2.762,2.786,326974.66,369571.62,375286.88
2018-08-13,2.76,2.76,2.75,2.72,251487.67,-0.03,-1.08,2.772,2.775,2.782,385210.77,374173.74,377350.91
2018-08-10,2.78,2.79,2.78,2.76,310861.62,-0.02,-0.71,2.76,2.785,2.778,402618.68,386961.89,380829.06
2018-08-09,2.78,2.87,2.81,2.77,600218.69,0.06,2.18,2.754,2.794,2.771,401459.55,380877.36,379928.25
2018-08-08,2.76,2.78,2.75,2.73,305700.66,-0.02,-0.72,2.738,2.801,2.762,389622.41,346486.03,369805.75
2018-08-07,2.7,2.78,2.77,2.64,457785.19,0.08,2.97,2.758,2.815,2.753,412168.57,360083.78,368741.38
2018-08-06,2.72,2.76,2.69,2.68,338527.22,-0.06,-2.18,2.778,2.826,2.746,363136.72,397645.94,357387.48
2018-08-03,2.73,2.79,2.75,2.72,305065.97,0.02,0.73,2.81,2.839,2.743,371305.11,434408.66,353248.49
2018-08-02,2.82,2.83,2.73,2.69,541033.0,-0.12,-4.21,2.834,2.834,2.735,360295.18,434185.09,354945.96
2018-08-01,2.85,2.91,2.85,2.83,418431.47,-0.01,-0.35,2.864,2.828,2.727,303349.64,404423.79,342302.62
2018-07-31,2.84,2.87,2.87,2.82,212625.95,0.03,1.06,2.872,2.809,2.717,307998.99,381002.15,332037.89
2018-07-30,2.87,2.91,2.85,2.81,379369.16,-0.02,-0.7,2.874,2.788,2.707,432155.16,380528.08,333940.03
2018-07-27,2.89,2.89,2.87,2.85,250016.3,0.0,0.0,2.868,2.77,2.697,497512.21,374696.22,330097.32
2018-07-26,2.88,2.9,2.88,2.86,256305.33,-0.01,-0.35,2.834,2.748,2.689,508075.01,378979.14,330875.96
2018-07-25,2.89,2.91,2.89,2.85,441678.22,0.01,0.35,2.792,2.723,2.678,505497.94,393125.47,334203.83
2018-07-24,2.82,2.94,2.88,2.81,833406.81,0.07,2.49,2.746,2.691,2.668,454005.3,377398.97,326355.85
2018-07-23,2.69,2.84,2.82,2.68,706154.38,0.13,4.83,2.702,2.666,2.659,328900.99,317129.02,300146.39
2018-07-20,2.67,2.71,2.7,2.66,302830.31,0.03,1.12,2.672,2.646,2.653,251880.24,272088.33,279162.52
2018-07-19,2.66,2.69,2.67,2.66,243420.0,0.01,0.38,2.662,2.635,2.656,249883.27,275706.83,280038.2
2018-07-18,2.66,2.68,2.66,2.65,184215.0,0.0,0.0,2.654,2.626,2.661,280752.99,280181.45,287533.02
2018-07-17,2.68,2.69,2.66,2.64,207885.25,-0.01,-0.38,2.636,2.624,2.667,300792.64,283073.64,293061.51
2018-07-16,2.64,2.69,2.67,2.64,321050.62,0.03,1.14,2.63,2.625,2.674,305357.05,287351.98,317646.04
2018-07-13,2.63,2.66,2.65,2.62,292845.47,0.02,0.76,2.62,2.623,2.688,292296.42,285498.42,313550.05
2018-07-12,2.55,2.65,2.63,2.55,397768.62,0.06,2.33,2.608,2.63,2.704,301530.39,282772.79,307796.87
2018-07-11,2.61,2.61,2.57,2.54,284413.25,-0.06,-2.28,2.598,2.633,2.719,279609.91,275282.18,298792.34
2018-07-10,2.62,2.65,2.63,2.61,230707.31,0.01,0.38,2.612,2.644,2.739,265354.64,275312.72,298953.25
2018-07-09,2.59,2.63,2.62,2.58,255747.47,0.03,1.16,2.62,2.651,2.754,269346.9,283163.75,296827.0
2018-07-06,2.58,2.61,2.59,2.52,339015.28,0.01,0.39,2.626,2.66,2.77,278700.41,286236.72,295502.21
2018-07-05,2.64,2.65,2.58,2.57,288166.22,-0.06,-2.27,2.652,2.677,2.789,264015.19,284369.58,288167.86
2018-07-04,2.66,2.67,2.64,2.64,213136.91,-0.03,-1.12,2.668,2.695,2.809,270954.46,294884.59,283857.56
2018-07-03,2.64,2.67,2.67,2.63,250668.64,0.02,0.76,2.676,2.71,2.826,285270.8,303049.38,282014.44
2018-07-02,2.71,2.71,2.65,2.64,302515.0,-0.06,-2.21,2.682,2.722,2.841,296980.6,347940.1,281277.34
2018-06-29,2.68,2.72,2.72,2.66,265589.16,0.05,1.87,2.694,2.753,2.856,293773.02,341601.69,278583.97
2018-06-28,2.67,2.7,2.66,2.65,322862.59,-0.02,-0.75,2.702,2.777,2.867,304723.97,332820.96,280702.49
2018-06-27,2.7,2.71,2.68,2.67,284718.62,-0.03,-1.11,2.722,2.805,2.881,318814.71,322302.5,287251.43
2018-06-26,2.68,2.71,2.7,2.66,309217.62,-0.01,-0.37,2.744,2.833,2.897,320827.96,322593.77,290684.02
2018-06-25,2.78,2.79,2.71,2.71,286477.12,-0.05,-1.81,2.762,2.856,2.913,398899.6,310490.24,291306.95
2018-06-22,2.75,2.77,2.76,2.69,320343.91,0.0,0.0,2.812,2.879,2.93,389430.36,304767.71,305580.27
2018-06-21,2.79,2.85,2.76,2.75,393316.28,-0.03,-1.07,2.852,2.901,2.948,360917.94,291966.14,299808.66
2018-06-20,2.77,2.81,2.79,2.75,294784.88,0.0,0.0,2.888,2.923,2.965,325790.29,272830.54,291231.69
2018-06-19,2.94,2.94,2.79,2.75,699575.81,-0.17,-5.74,2.922,2.942,2.983,324359.59,260979.5,293585.42
2018-06-15,2.95,2.96,2.96,2.93,239130.91,0.0,0.0,2.95,2.96,3.001,222080.88,214614.58,283837.32
2018-06-14,2.94,2.97,2.96,2.93,177781.83,0.02,0.68,2.946,2.958,3.009,220105.06,215566.24,292338.75
2018-06-13,2.96,2.97,2.94,2.94,217678.0,-0.03,-1.01,2.95,2.957,3.016,223014.33,228584.02,291874.89
2018-06-12,2.93,2.98,2.96,2.92,287631.38,0.03,1.02,2.958,2.956,3.024,219870.79,252200.36,289017.39
2018-06-11,2.93,2.94,2.93,2.92,188182.27,-0.01,-0.34,2.962,2.961,3.032,197599.42,258774.27,286780.72
2018-06-08,2.98,2.98,2.94,2.92,229251.81,-0.04,-1.34,2.97,2.97,3.04,207148.28,272123.66,290791.48
2018-06-07,2.99,3.01,2.98,2.97,192328.2,0.0,0.0,2.97,2.981,3.049,211027.43,306392.83,291026.09
2018-06-06,2.97,3.01,2.98,2.97,201960.28,0.0,0.0,2.964,2.994,3.056,234153.7,307651.18,292818.34
